Created,1/11/2019 11:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ManualData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StartDate,22/10/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EndDate,1/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StaNo.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170
StaName,Stung Treng,Kratie,Kompong Cham,Bassac Chaktomuk,Phnom Penh Port,Neak Luong,Koh Khel,Prek Kdam,Kompong Luong,Voeun Sai,Kompong Chen,Kompong Chhnang,Kompong Kdei,Kompong Thmar,Lumphat,Banteay Srey,Sadan,Sambor,Snoul,Srey Snam,Talo,Sre Noy,Sisophon,Okrieng,O Yadav,Koh Gneak,Koulen,Tbeng Meanchey,Oudor Meanchey,Kompong Speu,Oral,O Taroat,Trapeang,Pailin,Pursat,Mung Russey,Dap Bat,Kravanh,Tuk Phos,Stung Chinit,Cham Bac,Peam Te,Svay Chrea,Kantout,Seam Bork,Tala Boriwat,Sesan,Seam Pang,Bovel,Anlong Thoam,Thmey,Chong Thnoi,Ou Koki,Champei,Krang Thom,Serei Vong,Dei Dos,Tang Sya,Krang Serei,Sre Trapang,Roluos,Krang Svay,Krang Samre,Jinghong,Manan,Xieng Kok,Pak Beng,Luang Prabang,Paklay,Vientiane,Paksane,Thakhek,Savannakhet,Pakse,Ban Pak Kanhoung,Muong Mai,Ban Phone Si,Muong Kao (Borikhane),Mahaxai,Khong Sedone,Saravanne,Veun Khen,Veun Khen,Muong Ngoy,Ban Mixay,Sayaboury,Xieng Ngeun,Vang Vieng,Phiengluang,Oudomxay,Phongsaly,Moung Namtha,Ban Signo,Xiengkhouang,Ban Chan Noi,Kuanpho,Ban Keng Don,Highway Bridge,Kengkok,Souvanna Khill,Phalan,Moung Phine,Laongam,Moung Nong,Nikum 34,Moung Tchepone,Sekong,Ban Donghene,Ban Nape,Se Ban Fai,Chiang Saen,Chiang Khong,Chiang Khan,Nong Khai,Nakhon Phanom,Mukdahan,Khong Chiam,Ban Mai Bua Daeng,Doi Hang,Thoeng,Wang Saphung,Ban Tha Kok Daeng,Ban Had Paeng,Chiang Rai,Ubon,Tan Chau,Chau Doc,Vam Nao,My Thuan,Can Tho,Vam Kenh,Ban Don,Kon Tum,Duc Xuyen,Muong Te,Tam Duong,Sin Ho,Lai Chau,Tuan Giao,Dien Bien,Quynh Nhai,Khe Sanh,Son La,Huong Khe,Ha Tinh,Ky Anh,Tuyen Hoa,Ba Don,Dong Hoi,Dong Ha,A Luoi,Hue,Dak To,Pleiku,An Khe,Ayunpa,Buon Me Thuoc,Mdrak,Dak Nong,Buon Ho,Huong Son,Pha Din,Yen Chau,Mai Chau,Tuong Duong,Con Cuong,Phuoc Long,Tay Ninh,Dong Xoai,Ialy
StaID,14501,14901,19802,33401,20101,19806,33402,20102,20106,440102,600101,20103,570101,620101,450101,130322,130505,120505,120606,130326,120309,130309,130202,130200,134010,130220,134910,134813,141112,110404,110433,110434,110445,120202,120302,120303,120304,120312,120420,120423,120520,120602,120607,120611,130506,130507,130605,140603,130208,104274,104201,104279,104251,104267,104191,104203,140204,104222,104231,104268,104217,104289,104207,92600,92980,10402,10901,11201,11401,11901,12703,13102,13401,13901,230101,250101,270101,260101,320107,390102,390103,430106,430105,100102,120101,190103,190205,180207,230113,200204,210201,200101,270903,190302,14301,170505,350101,350401,160505,390104,160506,160605,150604,160602,150607,160601,150609,160504,270502,320101,10501,10801,11903,12001,13101,13402,13801,50115,50106,70103,150101,290102,290113,50104,380103,19803,39801,980601,19804,39803,985203,451305,440201,450701,220201,220303,220302,220301,210305,210301,210303,160611,210304,180505,180504,180601,170603,170601,170602,160706,160705,160704,140715,140703,130803,130804,120801,120806,120712,120805,180506,220401,220402,220403,220404,220405,220407,220406,220408,220409
Date,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF,RF
22/10/2019,999.8,999.8,999.8,999.8,,999.8,999.8,999.8,,,,,,,,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,,,,,,,,,,,,,,,0,0,,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,,,,,,,999.8,,,,,,,999.8,,999.8,999.8,,,,,,,0,999.8,,,,0,,0,0,0,0,0,,0,0,0,0,0,0,,999.8,0.4,999.8,1.2,999.8,999.8,999.8,999.8,999.8,999.8,999.8,0.2,999.8,999.8,999.8,999.8,999.8,999.8,0.2,8,8,2,10,13,1,999.8,999.8,999.8,999.8,2,999.8,999.8,1,999.8,0.5,999.8,0.2,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8
23/10/2019,999.8,999.8,999.8,999.8,,999.8,999.8,999.8,,,,,,,,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,18,,,,,,,,,,,,,,,0,0,,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,,999.8,,,,,999.8,,,,,,,999.8,,999.8,999.8,,,,,,,999.8,999.8,,,,1,,0,0,0,0,0,,30,0,0,0,0,3.5,,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,0.4,1.2,999.8,999.8,2,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,0,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8
24/10/2019,999.8,999.8,999.8,999.8,,14.6,4.5,999.8,,,,,,,,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,3,4,6,999.8,999.8,999.8,999.8,999.8,6,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,,,,,,,,,,,,,,,0,0,,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,,999.8,,,,,999.8,,,,,,,999.8,,999.8,999.8,,,,,,,999.8,999.8,,,,0.5,,0,0,0,0,0,,0,0,0,0,0,0,,999.8,999.8,999.8,8,999.8,,999.8,3,999.8,999.8,0,0,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,8,999.8,999.8,0,999.8,999.8,999.8,0.6,999.8,2,2,2,53,999.8,999.8,10,999.8
25/10/2019,999.8,999.8,999.8,999.8,,999.8,999.8,999.8,,,,,,,,999.8,999.8,999.8,999.8,9.9,3.7,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,2.8,8.7,999.8,11.8,1.5,999.8,999.8,22.8,999.8,1.9,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,,,,,,,,,,,,,,,0,0,,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,7,999.8,999.8,999.8,999.8,999.8,999.8,999.8,,999.8,,,,,999.8,,,,,,,999.8,,999.8,999.8,,,,,,,999.8,999.8,,,,0,,0,0,0,0,0,,0,0,0,0,0,0,,999.8,999.8,999.8,12,999.8,999.8,999.8,999.8,999.8,999.8,3,999.8,999.8,999.8,999.8,0.1,999.8,999.8,40,27,3,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,8.4,999.8,999.8,17,0,1,999.8,0,0,999.8
26/10/2019,999.8,999.8,999.8,999.8,,999.8,999.8,999.8,,,,,,,,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,1.2,1.3,999.8,6.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,,,,,,,,,,,,,,,0,0,,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,,999.8,,,,,999.8,,,,,,,999.8,,999.8,999.8,,,,,,,999.8,999.8,,,,0,,0,0,0,0,0,,0,0,0,0,0,0,,999.8,999.8,999.8,0.6,999.8,,999.8,999.8,999.8,0.1,32,25,999.8,999.8,999.8,999.8,8.5,999.8,17,53,20,36,22,22,35.9,27,9,999.8,999.8,999.8,999.8,999.8,0.4,999.8,999.8,6,999.8,999.8,0.5,999.8,0.1,999.8,999.8,999.8,999.8
27/10/2019,999.8,999.8,999.8,0.8,,5.2,1,999.8,,,,,,,,999.8,999.8,999.8,999.8,999.8,3,999.8,999.8,999.8,2,999.8,999.8,999.8,999.8,101,46,38,17,999.8,999.8,12,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,5.6,,,,,,,,,,,,,,,0,0,,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,,999.8,,,,,999.8,,,,,,,999.8,,999.8,999.8,,,,,,,999.8,999.8,,,,0,,0,0,0,0,1.1,,0,0,0,0,0,0,,16,13,999.8,999.8,,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,1.8,999.8,38,36,10,14,7,3.4,0,6,7,999.8,999.8,9,2,0,36.6,999.8,0.4,51,999.8,999.8,0.1,5.8,8.8,5.1,3,33,999.8
28/10/2019,999.8,999.8,999.8,9.5,,1.2,15.5,999.8,,,,,,,,21,999.8,999.8,999.8,10.5,999.8,1.5,0.2,999.8,999.8,999.8,0.2,3,0.2,29,10.5,20,3.5,999.8,999.8,3,999.8,999.8,999.8,999.8,1.4,999.8,7,999.8,999.8,999.8,999.8,999.8,4.5,,,,,,,,,,,,,,,0,0,,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,999.8,,999.8,,,,,999.8,,,,,,,999.8,,999.8,,,,,,,,999.8,999.8,,,,0,,0,0,0,0,0,,0,0,0,0,0,0,,1.6,19,4.1,999.8,,999.8,999.8,999.8,999.8,29,10,21,999.8,999.8,999.8,999.8,0.1,999.8,1.7,0,0,0,3,2.6,1,29,0,999.8,999.8,9,999.8,4,69,999.8,0,1,999.8,999.8,0.1,0,0,1,26,31.3,999.8
